--------------------------------------------------------------------------------------------------------------------------------
+ Test Active Link              + Test Form                      3/12/2001  5:05:37 PM    Gain Focus; Lose Fo     0  Yes
SHRR:TSK-ImplementStatus-CR     SHR:Reporting                    1/11/2001 10:38:33 PM    Button;                20  Yes
SHRR:TSK-StatusType             SHR:Reporting                    1/11/2001 10:38:33 PM    Button;                20  Yes
SHRR:TSK-StatusType-CR          SHR:Reporting                    1/11/2001 10:38:34 PM    Button;                20  Yes
SHRSU:SUR-CloseSurvey           SHR:Survey                       1/11/2001 10:37:55 PM    Button;                 0  Yes
SHRSU:SUR-FillInSurvey          SHR:Survey                       1/11/2001 10:37:55 PM    Window Open;            0  Yes
SHRSU:SUR-GetQuestions          SHR:Survey                       1/11/2001 10:37:55 PM    Set Default; Window     0  Yes
SHRSU:SUR-SaveSurvey            SHR:Survey                       1/11/2001 10:37:55 PM    Button;                 0  Yes
SHRSUQ:SQ-AddQuestion1          SHR:SurveyQuestions              1/11/2001 10:37:55 PM    Button;                 1  Yes
SHRSUQ:SQ-AddQuestion2          SHR:SurveyQuestions              1/11/2001 10:37:55 PM    Button;                 2  Yes
SHRSUQ:SQ-AddQuestion3          SHR:SurveyQuestions              1/11/2001 10:37:55 PM    Button;                 3  Yes
SHRSUQ:SQ-BackToStart           SHR:SurveyQuestions              1/11/2001 10:37:55 PM    Button;                 1  Yes
SHRSUQ:SQ-BackToStart2          SHR:SurveyQuestions              1/11/2001 10:37:55 PM    Window Close;           2  Yes
SHRSUQ:SQ-DeleteQuestion        SHR:SurveyQuestions              1/11/2001 10:37:55 PM    Button;                 2  Yes
SHRSUQ:SQDLG-Cancel             SHR:SurveyQuestionsDialog        1/11/2001 10:37:55 PM    Button;                 0  Yes
SHRSUQ:SQDLG-OK                 SHR:SurveyQuestionsDialog        1/11/2001 10:37:55 PM    Button;                 0  Yes
SHRSUQ:SQDLG-Refresh01          SHR:SurveyQuestionsDialog        1/11/2001 10:37:55 PM    Window Open;            1  Yes
SHRSUQ:SQDLG-Refresh02ELSE      SHR:SurveyQuestionsDialog        1/11/2001 10:37:55 PM    Window Open;            2  Yes
SHRSUQ:SQ-ModifyQuestion        SHR:SurveyQuestions              1/11/2001 10:37:55 PM    Button;                 2  Yes
SHRSUQ:SQ-SelectQuestion1       SHR:SurveyQuestions              1/11/2001 10:37:55 PM    Button;                 1  Yes
SHRSUQ:SQ-SelectQuestion2       SHR:SurveyQuestions              1/11/2001 10:37:55 PM    Button;                 2  Yes
SHRSUQ-SQ-UpdateStepsDone       SHR:SurveyQuestions              1/11/2001 10:37:55 PM    Button;               910  Yes
SLAFB:EFBC-ChangeFlagOff        SLAFB:ExistingFBComponents       1/11/2001 10:44:08 PM    Window Close;         999  Yes
SLAFB:EFBC-CloseWindow          SLAFB:ExistingFBComponents       1/11/2001 10:44:08 PM    Button;                 0  Yes
SLAFB:EFBC-CreateButton01       SLAFB:ExistingFBComponents       1/11/2001 10:44:08 PM    Button;                 1  Yes
SLAFB:EFBC-CreateButton02       SLAFB:ExistingFBComponents       1/11/2001 10:44:08 PM    Button;                 2  Yes
SLAFB:EFBC-CreateButton03       SLAFB:ExistingFBComponents       1/11/2001 10:44:08 PM    Button;                 3  Yes
SLAFB:EFBC-DeleteButton01       SLAFB:ExistingFBComponents       1/11/2001 10:44:08 PM    Button;                 1  Yes
SLAFB:EFBC-DeleteButton02       SLAFB:ExistingFBComponents       1/11/2001 10:44:08 PM    Button;                 2  Yes
SLAFB:EFBC-DeleteButton03       SLAFB:ExistingFBComponents       1/11/2001 10:44:08 PM    Button;                 3  Yes
SLAFB:EFBC-DetailsButton01      SLAFB:ExistingFBComponents       1/11/2001 10:44:08 PM    Button;                 1  Yes
SLAFB:EFBC-RefreshTable01       SLAFB:ExistingFBComponents       1/11/2001 10:44:08 PM    Window Open;            1  Yes
SLAFB:EFBC-RefreshTable02       SLAFB:ExistingFBComponents       1/11/2001 10:44:08 PM    Window Open;            2  Yes
SLAFB:EFBC-RefreshTable03       SLAFB:ExistingFBComponents       1/11/2001 10:44:08 PM    Window Open;            3  Yes
SLAFB:EFBD-ChangeFlagOff        SLAFB:ExistingFBDefinitions      1/11/2001 10:44:09 PM    Window Close;         999  Yes
SLAFB:EFBD-CloseWindow          SLAFB:ExistingFBDefinitions      1/11/2001 10:44:09 PM    Button;                 0  Yes
SLAFB:EFBD-CreateButton01       SLAFB:ExistingFBDefinitions      1/11/2001 10:44:09 PM    Button;                 1  Yes
SLAFB:EFBD-CreateButton02       SLAFB:ExistingFBDefinitions      1/11/2001 10:44:09 PM    Button;                 2  Yes
SLAFB:EFBD-CreateButton03       SLAFB:ExistingFBDefinitions      1/11/2001 10:44:09 PM    Button;                 3  Yes
SLAFB:EFBD-DetailsButton01      SLAFB:ExistingFBDefinitions      1/11/2001 10:44:09 PM    Button;                 1  Yes
SLAFB:EFBD-RefreshTable01       SLAFB:ExistingFBDefinitions      1/11/2001 10:44:09 PM    Window Open;            1  Yes
SLAFB:EFBD-RefreshTable02       SLAFB:ExistingFBDefinitions      1/11/2001 10:44:09 PM    Window Open;            2  Yes
SLAFB:EFBD-RefreshTable03       SLAFB:ExistingFBDefinitions      1/11/2001 10:44:09 PM    Window Open;            3  Yes
SLAFB:FBCP-ClearFields          SLAFB:ComponentDefinitionCP      1/11/2001 10:43:50 PM    Button;                 1  Yes
SLAFB:FBCP-CloseButton          SLAFB:ComponentDefinitionCP      1/11/2001 10:43:50 PM    Button;                 1  Yes
SLAFB:FBCP-MoveToType           SLAFB:ComponentDefinitionCP      1/11/2001 10:43:50 PM    Menu Choice; Return     0  Yes
SLAFB:FBCP-NoSubmit             SLAFB:ComponentDefinitionCP      1/11/2001 10:43:50 PM    Submit;                 0  Yes
SLAFB:FBCP-OnModifyDialogOpen   SLAFB:ComponentDefinitionCP      1/11/2001 10:43:50 PM    Window Open;            1  Yes
SLAFB:FBCP-RedefineFlag01       SLAFB:ComponentDefinitionCP      1/11/2001 10:43:50 PM    Display;                1  Yes
SLAFB:FBCP-SaveComp01           SLAFB:ComponentDefinitionCP      1/11/2001 10:43:50 PM    Button;                 1  Yes
SLAFB:FBCP-SaveComp02           SLAFB:ComponentDefinitionCP      1/11/2001 10:43:50 PM    Button;                 2  Yes
SLAFB:FBCP-SaveComp03           SLAFB:ComponentDefinitionCP      1/11/2001 10:43:50 PM    Button;                 3  Yes
SLAFB:FBCP-SaveComp04           SLAFB:ComponentDefinitionCP      1/11/2001 10:43:50 PM    Button;                 4  Yes
SLAFB:FBCP-SaveComp05           SLAFB:ComponentDefinitionCP      1/11/2001 10:43:50 PM    Button;                 5  Yes
SLAFB:FBCP-SaveComp06           SLAFB:ComponentDefinitionCP      1/11/2001 10:43:50 PM    Button;                 6  Yes
SLAFB:FBCP-SaveComp07           SLAFB:ComponentDefinitionCP      1/11/2001 10:43:50 PM    Button;                 7  Yes
SLAFB:FBCP-SaveComp08           SLAFB:ComponentDefinitionCP      1/11/2001 10:43:51 PM    Button;                 8  Yes
SLAFB:FBCP-SaveComp09           SLAFB:ComponentDefinitionCP      1/11/2001 10:43:51 PM    Button;                 9  Yes
SLAFB:FBCP-SaveComp10           SLAFB:ComponentDefinitionCP      1/11/2001 10:43:51 PM    Button;                10  Yes
SLAFB:FBCP-SaveComp11           SLAFB:ComponentDefinitionCP      1/11/2001 10:43:51 PM    Button;                11  Yes
SLAFB:FBCP-SaveComp12           SLAFB:ComponentDefinitionCP      1/11/2001 10:43:51 PM    Button;                12  Yes
SLAFB:FBCP-SaveComp13           SLAFB:ComponentDefinitionCP      1/11/2001 10:43:51 PM    Button;                13  Yes
SLAFB:FBCP-SaveComp14           SLAFB:ComponentDefinitionCP      1/11/2001 10:43:51 PM    Button;                14  Yes
SLAFB:FBCP-SaveComp15           SLAFB:ComponentDefinitionCP      1/11/2001 10:43:51 PM    Button;                15  Yes
SLAFB:FBD-BuildComponent1       SLAFB:FlashboardDefinition       1/11/2001 10:43:51 PM    Button;                10  Yes
SLAFB:FBD-BuildComponent1A      SLAFB:FlashboardDefinition       1/11/2001 10:43:51 PM    Button;                15  Yes
SLAFB:FBD-BuildComponent2       SLAFB:FlashboardDefinition       1/11/2001 10:43:51 PM    Button;                10  Yes
SLAFB:FBD-BuildComponent2A      SLAFB:FlashboardDefinition       1/11/2001 10:43:51 PM    Button;                15  Yes
SLAFB:FBD-BuildComponent3       SLAFB:FlashboardDefinition       1/11/2001 10:43:51 PM    Button;                10  Yes
SLAFB:FBD-BuildComponent3A      SLAFB:FlashboardDefinition       1/11/2001 10:43:52 PM    Button;                15  Yes
SLAFB:FBD-BuildComponent4       SLAFB:FlashboardDefinition       1/11/2001 10:43:52 PM    Button;                10  Yes
SLAFB:FBD-BuildComponent4A      SLAFB:FlashboardDefinition       1/11/2001 10:43:52 PM    Button;                15  Yes
SLAFB:FBD-BuildComponent5       SLAFB:FlashboardDefinition       1/11/2001 10:43:52 PM    Button;                10  Yes
SLAFB:FBD-BuildComponent5A      SLAFB:FlashboardDefinition       1/11/2001 10:43:52 PM    Button;                15  Yes
SLAFB:FBD-BuildComponent6       SLAFB:FlashboardDefinition       1/11/2001 10:43:52 PM    Button;                10  Yes
SLAFB:FBD-BuildComponent6A      SLAFB:FlashboardDefinition       1/11/2001 10:43:52 PM    Button;                15  Yes
SLAFB:FBD-BuildComponent7       SLAFB:FlashboardDefinition       1/11/2001 10:43:52 PM    Button;                10  Yes
SLAFB:FBD-BuildComponent7A      SLAFB:FlashboardDefinition       1/11/2001 10:43:52 PM    Button;                15  Yes
SLAFB:FBD-BuildComponent8       SLAFB:FlashboardDefinition       1/11/2001 10:43:52 PM    Button;                10  Yes
SLAFB:FBD-BuildComponent8A      SLAFB:FlashboardDefinition       1/11/2001 10:43:52 PM    Button;                15  Yes
SLAFB:FBD-BuildFBDefinition01   SLAFB:FlashboardDefinition       1/11/2001 10:43:52 PM    Button;                10  Yes
SLAFB:FBD-BuildFBDefinition02   SLAFB:FlashboardDefinition       1/11/2001 10:43:52 PM    Button;                20  Yes
SLAFB:FBD-BuildFBDefinition03   SLAFB:FlashboardDefinition       1/11/2001 10:43:52 PM    Button;                30  Yes
SLAFB:FBD-BuildFBDefinition04   SLAFB:FlashboardDefinition       1/11/2001 10:43:52 PM    Button;                40  Yes
SLAFB:FBD-BuildFBDefinition05   SLAFB:FlashboardDefinition       1/11/2001 10:43:52 PM    Button;                50  Yes
SLAFB:FBD-BuildFBDefinition06   SLAFB:FlashboardDefinition       1/11/2001 10:43:52 PM    Button;                60  Yes
SLAFB:FBD-BuildFBDefinition07   SLAFB:FlashboardDefinition       1/11/2001 10:43:52 PM    Button;                70  Yes
SLAFB:FBD-BuildFBDefinition08   SLAFB:FlashboardDefinition       1/11/2001 10:43:52 PM    Button;                80  Yes
SLAFB:FBD-BuildHeader00         SLAFB:FlashboardDefinition       1/11/2001 10:43:52 PM    Button;                 1  Yes
SLAFB:FBD-BuildHeader01         SLAFB:FlashboardDefinition       1/11/2001 10:43:53 PM    Button;                10  Yes
SLAFB:FBD-BuildHeader02         SLAFB:FlashboardDefinition       1/11/2001 10:43:53 PM    Button;                20  Yes
SLAFB:FBD-BuildHeader03A        SLAFB:FlashboardDefinition       1/11/2001 10:43:53 PM    Button;                31  Yes
SLAFB:FBD-BuildHeader03B        SLAFB:FlashboardDefinition       1/11/2001 10:43:53 PM    Button;                32  Yes
SLAFB:FBD-BuildHeader03C        SLAFB:FlashboardDefinition       1/11/2001 10:43:53 PM    Button;                33  Yes
SLAFB:FBD-BuildHeader04         SLAFB:FlashboardDefinition       1/11/2001 10:43:53 PM    Button;                40  Yes
SLAFB:FBD-BuildHeader04A        SLAFB:FlashboardDefinition       1/11/2001 10:43:53 PM    Button;                41  Yes
SLAFB:FBD-BuildHeader04B        SLAFB:FlashboardDefinition       1/11/2001 10:43:53 PM    Button;                42  Yes
SLAFB:FBD-BuildHeader04C        SLAFB:FlashboardDefinition       1/11/2001 10:43:53 PM    Button;                43  Yes
SLAFB:FBD-BuildHeader04D        SLAFB:FlashboardDefinition       1/11/2001 10:43:53 PM    Button;                44  Yes
SLAFB:FBD-BuildHeader04E        SLAFB:FlashboardDefinition       1/11/2001 10:43:53 PM    Button;                45  Yes
SLAFB:FBD-BuildHeader04F        SLAFB:FlashboardDefinition       1/11/2001 10:43:53 PM    Button;                46  Yes
SLAFB:FBD-BuildHeader05         SLAFB:FlashboardDefinition       1/11/2001 10:43:53 PM    Button;                50  Yes
SLAFB:FBD-BuildHeader05A        SLAFB:FlashboardDefinition       1/11/2001 10:43:53 PM    Button;                51  Yes
SLAFB:FBD-BuildHeader05B        SLAFB:FlashboardDefinition       1/11/2001 10:43:53 PM    Button;                52  Yes
SLAFB:FBD-BuildHeader05C        SLAFB:FlashboardDefinition       1/11/2001 10:43:53 PM    Button;                53  Yes
SLAFB:FBD-BuildHeader05D        SLAFB:FlashboardDefinition       1/11/2001 10:43:53 PM    Button;                54  Yes
SLAFB:FBD-BuildHeader05E        SLAFB:FlashboardDefinition       1/11/2001 10:43:53 PM    Button;                55  Yes
SLAFB:FBD-BuildHeader06         SLAFB:FlashboardDefinition       1/11/2001 10:43:54 PM    Button;                60  Yes
SLAFB:FBD-BuildHeader07         SLAFB:FlashboardDefinition       1/11/2001 10:43:54 PM    Button;                70  Yes
SLAFB:FBD-BuildHeader08         SLAFB:FlashboardDefinition       1/11/2001 10:43:54 PM    Button;                80  Yes
SLAFB:FBD-BuildHeader9          SLAFB:FlashboardDefinition       1/11/2001 10:43:54 PM    Button;                90  Yes
SLAFB:FBD-CancelButton          SLAFB:FlashboardDefinition       1/11/2001 10:43:54 PM    Button;                 1  Yes
SLAFB:FBD-CheckNull1            SLAFB:FlashboardDefinition       1/11/2001 10:43:54 PM    Return; Button;        51  Yes
SLAFB:FBD-CheckNull2            SLAFB:FlashboardDefinition       1/11/2001 10:43:54 PM    Return; Button;        52  Yes
SLAFB:FBD-CheckNull3            SLAFB:FlashboardDefinition       1/11/2001 10:43:54 PM    Return; Button;        53  Yes
SLAFB:FBD-CheckNull4            SLAFB:FlashboardDefinition       1/11/2001 10:43:54 PM    Return; Button;        54  Yes
SLAFB:FBD-CheckNull5            SLAFB:FlashboardDefinition       1/11/2001 10:43:54 PM    Return; Button;        55  Yes
SLAFB:FBD-CheckNull6            SLAFB:FlashboardDefinition       1/11/2001 10:43:54 PM    Return; Button;        56  Yes
SLAFB:FBD-CheckNull7            SLAFB:FlashboardDefinition       1/11/2001 10:43:54 PM    Return; Button;        57  Yes
SLAFB:FBD-CheckNull8            SLAFB:FlashboardDefinition       1/11/2001 10:43:54 PM    Return; Button;        58  Yes
SLAFB:FBD-CheckRedefine1        SLAFB:FlashboardDefinition       1/11/2001 10:43:54 PM    Return;               500  Yes
SLAFB:FBD-CheckRedefine1A       SLAFB:FlashboardDefinition       1/11/2001 10:43:54 PM    Return;               501  Yes
